Obs_Id,lagoslakeid,sampledate,ActivityConductingOrganizationText,OrganizationFormalName,CharacteristicName,source_parameter,ResultMeasureValue,source_value,source_unit,Conversion,DetectionQuantitationLimitMeasure.MeasureValue,Method_Id,MethodDescriptionText,ActivityCommentText,wqp_monitoringlocationname
WA-58336,460912,1975-04-22,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,31000,31.0,mg/l as P,1000,NA,"NA NA",NA,NA,"UPPER GOOSE LAKE NEAR OTHELLO, WA"
WA-87744,461572,1975-04-24,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2200,2.20,mg/l as P,1000,NA,"NA NA",NA,NA,"GRIMES LAKE NEAR MANSFIELD, WA"
WA-47488,461572,1975-04-24,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2400,2.40,mg/l as P,1000,NA,"NA NA",NA,NA,"GRIMES LAKE NEAR MANSFIELD, WA"
WA-72752,461235,1975-04-30,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2700,2.70,mg/l as P,1000,NA,"NA NA",NA,NA,"WANNACUT LAKE NEAR OROVILLE, WA"
OH-108692,447,1975-04-30,NA,USGS Ohio Water Science Center,"Color, true",Color,1200,1200,PCU,1,NA,"NA NA",NA,NA,ACTON LK AB DAM NR OXFORD OH
WA-88344,460912,1975-05-28,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,7700,7.70,mg/l as P,1000,NA,"NA NA",NA,NA,"UPPER GOOSE LAKE NEAR OTHELLO, WA"
WA-82855,461572,1975-05-30,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2300,2.30,mg/l as P,1000,NA,"NA NA",NA,NA,"GRIMES LAKE NEAR MANSFIELD, WA"
WA-63024,461572,1975-05-30,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2700,2.70,mg/l as P,1000,NA,"NA NA",NA,NA,"GRIMES LAKE NEAR MANSFIELD, WA"
WA-64897,461235,1975-06-05,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2800,2.80,mg/l as P,1000,NA,"NA NA",NA,NA,"WANNACUT LAKE NEAR OROVILLE, WA"
WY-21737,325896,1975-08-16,NA,National Park Service Water Resources Division,Potassium,Potassium,30.4,30.4,mg/l,1,NA,11NPSWRD_WQX NPS_Unspecified,NA,NA,West Tern Lake North of Pelican Valley Between Fern & White
WA-63635,460912,1975-08-20,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,6800,6.80,mg/l as P,1000,NA,"NA NA",NA,NA,"UPPER GOOSE LAKE NEAR OTHELLO, WA"
WA-73783,461572,1975-08-21,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2100,2.10,mg/l as P,1000,NA,"NA NA",NA,NA,"GRIMES LAKE NEAR MANSFIELD, WA"
WA-93142,461572,1975-08-21,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,2500,2.50,mg/l as P,1000,NA,"NA NA",NA,NA,"GRIMES LAKE NEAR MANSFIELD, WA"
WA-64857,461235,1975-08-29,NA,USGS Washington Water Science Center,"Phosphorus, total",Phosphorus,3000,3.00,mg/l as P,1000,NA,"NA NA",NA,NA,"WANNACUT LAKE NEAR OROVILLE, WA"
OH-97797,2202,1975-09-03,NA,USGS Ohio Water Science Center,"Color, true",Color,800,800,PCU,1,NA,"NA NA",NA,NA,LAKE HOPE AB DAM NR ZALESKI OH
