"","CharacteristicName","ResultMeasure.MeasureUnitCode","DetectionQuantitationLimitMeasure.MeasureUnitCode","source_labmethodid","source_labmethodname","USGSPCode","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityStartDate","ActivityStartTime.Time","ActivityEndDate","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","source_samplesiteid","ActivityCommentText","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","ResultSampleFractionText","datavalue","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","source_labmethoddescription","ResultLaboratoryCommentText","source_qualifier","DetectionQuantitationLimitMeasure.MeasureValue","ProviderName","ActivityStartDateTime","ActivityEndDateTime","Obs_Id","State","Id_num","wqp_monitoringlocationname","wqp_providername","lagoslakeid","source_parameter","source_value","source_unit","detectionlimit_legacy","detectionlimit_unit_legacy","Conversion","Conversion_dl","Notes","sampledate","source_sampledepth","variableid_lagos","limit_low","limit_high","variableshortname","source_sampleposition","lagos_sampledepth","lagos_sampleposition"
"1","Nitrogen, total Kjeldahl","ug/l",NA,"USEPA 351.2","Total Kjeldahl Nitrogen by Colorimetry",NA,"SDDENR_WQX","DENR","SDDENR_WQX-80614W","Sample-Routine","1982-09-09","09:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"BHLKHIST",NA,"SDDENR_WQX-SYLVANL1SL","Heavy surface algae-H2O 3 below top of spillway.","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,"Total",1120,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Heavy surface algae-H2O 3 below top of spillway.",NA,NA,NA,"351.2","USEPA","https://www.nemi.gov/methods/method_summary/9626/",NA,NA,"1120","STORET","1982-09-09 16:00:00",NA,"SD-675097","SD","675097","SYLVANL1SL","STORET","335876","Kjeldahl nitrogen","1.12","mg/l",NA,NA,"1000","1000","EPA 351.2",1982-09-09,NA,16,-1000,100000,"tkn_ugl","UNKNOWN",NA,"UNKNOWN"
"2","Phosphorus, soluble reactive orthophosphate","ug/l","ug/l","USEPA 365.1","Phosphorus by Colorimetry",NA,"SDDENR_WQX","DENR","SDDENR_WQX-80614W","Sample-Routine","1982-09-09","09:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"BHLKHIST",NA,"SDDENR_WQX-SYLVANL1SL","Heavy surface algae-H2O 3 below top of spillway.","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,"Dissolved",30,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Heavy surface algae-H2O 3 below top of spillway.",NA,NA,NA,"365.1","USEPA","https://www.nemi.gov/methods/method_summary/4823/",NA,"Lower Quantitation Limit","30","STORET","1982-09-09 16:00:00",NA,"SD-714418","SD","714418","SYLVANL1SL","STORET","335876","Orthophosphate","0.03","mg/l","0.002","mg/l","1000","1000","EPA 365.1",1982-09-09,NA,26,-1000,100000,"srp_p_ugl","UNKNOWN",NA,"UNKNOWN"
"3","Phosphorus, total","ug/l","ug/l","USEPA 365.2","Phosphorus by Single Reagent Colorimetry",NA,"SDDENR_WQX","DENR","SDDENR_WQX-80614W","Sample-Routine","1982-09-09","09:00:00",NA,NA,NA,NA,NA,NA,NA,NA,"BHLKHIST",NA,"SDDENR_WQX-SYLVANL1SL","Heavy surface algae-H2O 3 below top of spillway.","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,"Total",70,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Heavy surface algae-H2O 3 below top of spillway.",NA,NA,NA,"365.2","USEPA","https://www.nemi.gov/methods/method_summary/5254/",NA,"Lower Quantitation Limit","70","STORET","1982-09-09 16:00:00",NA,"SD-672976","SD","672976","SYLVANL1SL","STORET","335876","Phosphate-phosphorus","0.07","mg/l","0.002","mg/l","1000","1000","EPA 365.2",1982-09-09,NA,27,-1000,100000,"tp_ugl","UNKNOWN",NA,"UNKNOWN"
"4","Alkalinity","ueq/l",NA,"USEPA 310.1","Alkalinity by Titration",NA,"SDDENR_WQX","DENR","SDDENR_WQX-62630W","Sample-Routine","1983-07-27","09:15:00",NA,NA,NA,NA,NA,NA,NA,NA,"BHLKHIST",NA,"SDDENR_WQX-LEGIONL1LL","Sunny-S depth is surface to mid of 16 kemmerer tu""","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,NA,60,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sunny-S depth is surface to mid of 16 kemmerer tu""",NA,NA,NA,"310.1","USEPA","https://www.nemi.gov/methods/method_summary/5230/",NA,NA,"60","STORET","1983-07-27 16:15:00",NA,"SD-700702","SD","700702","LEGIONL1LL","STORET","337060","Alkalinity, total","60","mg/l",NA,NA,"1","1","EPA 310.1; Reported as alkalinity",1983-07-27,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"5","Nitrogen, total Kjeldahl","ug/l",NA,"USEPA 351.2","Total Kjeldahl Nitrogen by Colorimetry",NA,"SDDENR_WQX","DENR","SDDENR_WQX-62630W","Sample-Routine","1983-07-27","09:15:00",NA,NA,NA,NA,NA,NA,NA,NA,"BHLKHIST",NA,"SDDENR_WQX-LEGIONL1LL","Sunny-S depth is surface to mid of 16 kemmerer tu""","REGRAVAN","SDDENR_WQX","Grab water sample taken from a reservoir by using a Van Dorn bottle","Van Dorn Bottle",NA,"Total",790,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Sunny-S depth is surface to mid of 16 kemmerer tu""",NA,NA,NA,"351.2","USEPA","https://www.nemi.gov/methods/method_summary/9626/",NA,NA,"790","STORET","1983-07-27 16:15:00",NA,"SD-728661","SD","728661","LEGIONL1LL","STORET","337060","Kjeldahl nitrogen","0.79","mg/l",NA,NA,"1000","1000","EPA 351.2",1983-07-27,NA,16,-1000,100000,"tkn_ugl","UNKNOWN",NA,"UNKNOWN"
"6","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_064_19830728_116994","Sample-Routine","1983-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_064",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",2.74,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 2.74",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"2.74","STORET",NA,NA,"CA-351524","CA","351524","ARCTIC LAKE OUTLET SURFACE AND SUBSURFACE","STORET","478104","Alkalinity, total","2.74","mg/l",NA,NA,"1","1","methods_WQX",1983-07-28,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"7","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_076_19830728_116646","Sample-Routine","1983-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_076",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",1.64,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 1.64",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"1.64","STORET",NA,NA,"CA-341535","CA","341535","GUITAR LAKE OUTLET SURFACE SUBSURFACE","STORET","477383","Alkalinity, total","1.64","mg/l",NA,NA,"1","1","methods_WQX",1983-07-28,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"8","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_051_19830801_114542","Sample-Routine","1983-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_051",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",1.86,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 1.86",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"1.86","STORET",NA,NA,"CA-338113","CA","338113","FORRESTER LAKE OUTLET SURFACE AND SUBSURFACE","STORET","476804","Alkalinity, total","1.86","mg/l",NA,NA,"1","1","methods_WQX",1983-08-01,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"9","Alkalinity","ueq/l",NA,"11NPSWRD_WQX NPS_LEGACY","Unspecified Standard Grab Sample Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_064_19830906_117004","Sample-Routine","1983-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_064",NA,"NPS_LEGACY","11NPSWRD","LEGACY","Miscellaneous (Other)",NA,"Total",0.84,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00410][Description: ALKALINITY, TOTAL (MG/L AS CACO3)][Value: 0.84",NA,NA,NA,"NPS_LEGACY","11NPSWRD_WQX",NA,NA,NA,"0.84","STORET",NA,NA,"CA-338102","CA","338102","ARCTIC LAKE OUTLET SURFACE AND SUBSURFACE","STORET","478104","Alkalinity, total",".84","mg/l",NA,NA,"1","1","methods_WQX",1983-09-06,NA,1,-10,10000,"alk_caco3_mgl","UNKNOWN",NA,"UNKNOWN"
"10","pH, field or lab","pH",NA,"11NPSWRD_WQX NPS_Unspecified","Unknown or Unspecified Procedure",NA,"11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-SEQU_HW_064_19830906_117003","Field Msr/Obs","1983-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEQU0004",NA,"11NPSWRD_WQX-SEQU_HW_064",NA,NA,NA,NA,NA,NA,NA,6.3,NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"Old STORET Parameter Code: 00406][Description: PH, FIELD, STANDARD UNITS   SU][Value: 6.3",NA,NA,NA,"NPS_Unspecified","11NPSWRD_WQX",NA,NA,NA,"6.3","STORET",NA,NA,"CA-340232","CA","340232","ARCTIC LAKE OUTLET SURFACE AND SUBSURFACE","STORET","478104","pH","6.3","None",NA,NA,"1","1","methods_WQX",1983-09-06,NA,25,0,15,"ph","UNKNOWN",NA,"UNKNOWN"
