Obs_Id,lagoslakeid,sampledate,ActivityConductingOrganizationText,OrganizationFormalName,CharacteristicName,source_parameter,ResultMeasureValue,source_value,source_unit,Conversion,DetectionQuantitationLimitMeasure.MeasureValue,Method_Id,MethodDescriptionText,ActivityCommentText,wqp_monitoringlocationname
CA-160448,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, dissolved Kjeldahl",Kjeldahl nitrogen,10,0.01,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 2 A FALLEN LEAF CA
CA-175725,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, NH4",Ammonia and ammonium,20,0.020,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 2 A FALLEN LEAF CA
CA-147784,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, dissolved Kjeldahl",Kjeldahl nitrogen,10,0.01,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 2 A FALLEN LEAF CA
CA-113659,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, NH4",Ammonia and ammonium,20,0.020,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 2 A FALLEN LEAF CA
CA-175769,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, dissolved Kjeldahl",Kjeldahl nitrogen,10,0.01,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 2 A FALLEN LEAF CA
CA-173943,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, NH4",Ammonia and ammonium,20,0.020,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 2 A FALLEN LEAF CA
CA-178486,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, dissolved Kjeldahl",Kjeldahl nitrogen,10,0.01,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 1 A FALLEN LEAF CA
CA-100805,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, NH4",Ammonia and ammonium,20,0.020,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 1 A FALLEN LEAF CA
CA-175172,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, dissolved Kjeldahl",Kjeldahl nitrogen,10,0.01,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 1 A FALLEN LEAF CA
CA-182777,457397,1975-01-15,NA,USGS California Water Science Center,"Nitrogen, NH4",Ammonia and ammonium,20,0.020,mg/l as N,1000,NA,"NA NA",NA,NA,FALLEN LEAF LK SITE 1 A FALLEN LEAF CA
WI-515449,4495,1975-02-10,NA,USGS Wisconsin Water Science Center,"Phosphorus, total",Phosphorus,10,0.010,mg/l as P,1000,NA,"NA NA",NA,NA,"CEDAR LAKE SITE 2 EPILIMNION NEAR KIEL, WI"
WI-516561,4495,1975-02-10,NA,USGS Wisconsin Water Science Center,"Phosphorus, total dissolved",Phosphorus,50,0.050,mg/l as P,1000,NA,"NA NA",NA,NA,"CEDAR LAKE SITE 2 EPILIMNION NEAR KIEL, WI"
WI-510743,4495,1975-02-10,NA,USGS Wisconsin Water Science Center,"Phosphorus, soluble reactive orthophosphate",Orthophosphate,48.921,0.150,mg/l asPO4,326.14,NA,"NA NA",NA,NA,"CEDAR LAKE SITE 1 HYPOLIMNION NEAR KIEL, WI"
WI-508619,4495,1975-02-10,NA,USGS Wisconsin Water Science Center,"Phosphorus, total",Phosphorus,10,0.010,mg/l as P,1000,NA,"NA NA",NA,NA,"CEDAR LAKE SITE 1 HYPOLIMNION NEAR KIEL, WI"
WI-508620,4495,1975-02-10,NA,USGS Wisconsin Water Science Center,"Phosphorus, total dissolved",Phosphorus,50,0.050,mg/l as P,1000,NA,"NA NA",NA,NA,"CEDAR LAKE SITE 1 HYPOLIMNION NEAR KIEL, WI"
