State,depths,no_depths,proport_depth,depth_75,sd_depth
AL,27816,206,1,3.6,3.93
AR,110314,1297,1,6.4,9.44
AZ,60403,613,1,2.4,7.23
CA,42292,5961,12,7,11.05
CO,104351,27066,21,5,12.61
CT,6388,1707,21,0.9,2.54
DE,25523,0,0,0,0
FL,1657504,2606,0,0.5,0.74
GA,76919,2970,4,0.1,2.72
IA,90647,338,0,0,0.94
ID,45381,5668,11,19.1,27.55
IL,121139,98,0,1.5,9.89
IN,12808,806,6,0,1.49
KS,24166,4749,16,2.4,4.18
KY,19254,89,0,15.2,16.11
LA,38737,11448,23,1,1.37
MA,11736,1180,9,4,22.18
MD,18874,187,1,0.5,2.5
ME,28485,334,1,6,13.83
MI,43562,4722,10,4,5.89
MN,1730016,13919,1,2,3.34
MO,63288,3366,5,0,4.87
MS,10807,26,0,1.2,0.86
MT,42848,2211,5,15.2,26.06
NC,171024,3348,2,1.8,2.67
ND,158796,8825,5,3.1,6.47
NE,60856,0,0,0.1,1.11
NH,58083,26906,32,4,5.18
NJ,26743,356,1,1,2.4
NM,4974,970,16,6.4,9.9
NV,41705,1591,4,14,30.55
NY,88311,9002,9,2,11.75
OH,9819,9006,48,1.2,3.62
OK,32629,5959,15,1.8,6.35
OR,66483,6151,8,2,64.91
PA,4127,857,17,1,5.61
RI,510,784,61,0,1.36
SC,131445,395,0,0.3,0.87
SD,84727,3510,4,0.5,10.04
TN,42508,558,1,6.1,7.62
TX,297977,9495,3,6.4,6.29
UT,136603,8095,6,0.2,3.99
VA,114211,581,1,0.3,6.26
VT,184061,6979,4,7,9.61
WA,31641,1642,5,15.2,19.66
WI,508926,44658,8,0.9,7.52
WY,9671,1547,14,1.8,16.51
