OrganizationFormalName,depth,no_depth
Absentee Shawnee Tribe of Oklahoma,0,773
ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,25263,4137
Alabama-Coushatta Tribe of Texas,291,0
Alachua County Environmental Protection Department (Florida),989,129
Applegate Partnership & Watershed Council (Volunteer),0,8
Arizona Department of Environmental Quality,11371,0
Arizona Department Of Environmental Quality,3113,19
Arkansas Department of Environmental Quality,19285,0
Aspect Consulting - Bainbridge Island - Seattle - Wenatchee - Yakima,0,45
AZDEQ_SW,32740,326
"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",5008,591
Brevard County Stormwater Utility Department (Florida),79,0
Bureau of Reclamation,26050,11366
Bureau of Reclamation Western Colorado Area Office,30,6
California Department of Water Resources,0,4
California State Water Resources Control Board,12019,0
Chatfield Reservoir (Colorado),14,149
Cherokee Nation,450,767
Cherokee Nation (Oklahoma),22,139
Choctawhatchee Basin Alliance,2008,0
Choctawhatchee Basin Alliance (Florida),2482,0
"Citizen Potawatomi Nation, Oklahoma",32,712
CITY OF ALTAMONTE SPRINGS,314,2450
City of Cape Coral,4741,0
City of Lakeland (Florida),1138,7573
"City of Lakeland, Lakeland Florida",4583,0
City of Orlando - Streets and Stormwater Division (Florida),31890,660
City of St Petersburg,2208,0
City of Tallahassee Stormwater,10017,0
City of West Palm Beach (Florida),135,0
Coeur D'Alene Tribe,975,0
Collier County Pollution Control (Florida),13772,0
Colorado Dept. of Public Health & Environment,1769,292
Colorado Dept. of Public Health & Environment-WQCD,12083,91
Colorado River Watch (Volunteer),0,1129
Colorado State University,87,0
Columbia Riverkeeper,0,70
Confederated Salish and Kootenai Tribes,710,0
Confederated Tribes and Bands of the Yakama Nation,0,3
"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians",0,4
Connecticut Department Of Energy And Environmental Protection,502,0
Coquille Indian Tribe,0,595
Delaware Department Of Natural Resources And Environmental Control,42234,0
"Delaware Nation, Oklahoma",0,39
DENR,52238,3998
Division of Surface water (Ohio),0,156
Eastern Band of Cherokee Indians,8,28
Elem Indian Colony,1035,683
Environmental Protection Commission of Hillsborough County,2786,0
"Environmental Research and Design, Inc  (Florida)",603,0
EPA National Aquatic Resources Survey (NARS),710,738
EPA R7,0,1188
EPA Region 10 Superfund Bunker Hill Mining and Metallurgical Complex,1601,2554
EPA Region 10 Superfund Midnite Mine Site,0,13
FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER,1315,10
FDEP Watershed Assessment Section (WAS),3844,4
FDEP WATERSHED EVALUATION AND TMDL SECTION,941,0
"FDEP, Water Quality Standards and Special Projects (Florida)",6622,0
"Fl  Dept. of Environmental Protection, Central District",43001,342
"FL Dept. Environmental Protection, Southwest District",23737,23
FL Dept. of Environmental Protection,46946,146
"FL Dept. of Environmental Protection, Northeast District",11762,13
"FL Dept. of Environmental Protection, Northwest District",5699,5
"FL Dept. of Environmental Protection, South District",11243,10
"FL Dept. of Environmental Protection, Southeast District",3204,87
Florida Fish and Wildlife Conservation Commission,7183,2
Florida Fish and Wildlife Conservation Commission (Florida),15591,0
Florida LAKEWATCH,312884,0
Georgia  Environmental Protection Division,0,2084
Georgia DNR Environmental Protection Division,55241,0
Hopi Tribe of Arizona,0,12
Idaho Department Of Environmental Quality,1840,0
Idaho Department Of Environmental Quality DEQ,41,0
Iowa Dept. of  Natural Resources,14,102
Iowa DNR Surface Water Monitoring Data,92142,0
Kansas Department Of Health And Environment,14281,0
Kaw Nation of Oklahoma,6,8
"Kaw Nation, Oklahoma",1742,6155
Kentucky Division of Water,321,392
Kentucky KY Division Of Water,1368,0
King County (Washington),6,12
Kitsap County Health District,8,0
Klamath Tribes,18957,0
Lake County Water Resource Management,38828,349
Lake Hopatcong Commission(Volunteer)*,1553,0
LDEQ/Water Planning and Assessment (Louisiana),5428,11487
LDEQ/Watershed Planning Division,0,8444
Lee County Hyacinth Control District (Florida),69,267
Leon County Public Works (Florida),13205,3927
Lower Brule Sioux Tribe (South Dakota),4,0
Lower Elwha Klallam Tribe,0,10
Loxahatchee River District,14,0
Lummi Tribe of the Lummi Reservation,0,48
Maine Department of Environmental Protection,0,4
Manatee County Environmental Management Dept (Florida),661,2912
Manatee County Parks and Natural Resources Department (Florida),3412,2204
Maryland Department of Natural Resources,27,0
Maryland Dept. of the Environment In House Water Data,11333,134
Massachusetts Department of Environmental Protection (MassDEP),502,107
"McGlynn Laboratories, Inc",2332,0
"McGlynn Laboratories, Inc (Florida)",6064,15096
MDEQ_WQ_WQX - Montana DEQ WQPB,4496,591
Mescalero Apache Tribe DRMP,0,379
Metro Waste Water Reclamation District (Colorado),1900,904
Midnite Mine Environmental Data,2025,0
Minnesota Pollution Control Agency - Ambient Surface Water,6974,0
Mississippi Band of Choctaw Indians,176,0
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,8173,12206
MONT_DEQ_WQX - Montana DEQ - Pre-1999 Data,3221,1181
MS Dept. of Environmental Quality,1185,92
MTVOLWQM_WQX - Montana Volunteer Water Quality Monitoring (Volunteer),113,0
MTWTRSHD_WQX - Montana Watershed Data,2584,104
National Park Service Water Resources Division,24727,14370
NC DWQ Monitoring Coalition Program,65,0
NCDENR-DWQ,50188,5
NCDENR-DWQ (2nd),5525,0
Nebraska Department of Environment and Energy,23056,0
Nevada Division of Environmental Protection,16996,0
