OrganizationFormalName,ProjectIdentifier,n,Notes
Florida LAKEWATCH,LW_V,167399,30 cm for nutrients and chl per sop
Iowa DNR Surface Water Monitoring Data,AMBLAKE-ISU,41975,contacted chris
Delaware Department Of Natural Resources And Environmental Control,DE-ASWQMP,38053,left voicemail
Georgia DNR Environmental Protection Division,EPDAMU,33754,composite of photic zone
Iowa DNR Surface Water Monitoring Data,BEACH;EPABEACH,31885,contacted chris
USGS Louisiana Water Science Center,NA,26859,
Orlando Streets Drainage Stormwater Utility Bureau(Florida),LAKESAMP,22586,
Arkansas Department of Environmental Quality,1,17739,looked at qapp but no depth info (https://www.adeq.state.ar.us/water/planning/surface/) but when I looked at data for one lake most was epilimnion.
USGS Florida Water Science Center,NA,16590,
USGS Colorado Water Science Center,NA,15306,
Georgia DNR Environmental Protection Division,100,14763,composite of photic zone
Nebraska Department of Environment and Energy,NA,14239,
DENR,SWLAZZZ1,11887,
Utah Department Of Environmental Quality,350,11573,
Iowa DNR Surface Water Monitoring Data,AMBLAKE-SHL,11309,contacted chris
"McGlynn Laboratories, Inc (Florida)",LCLDATA,11137,
LDEQ/Watershed Planning Division,W1958001,10041,
LDEQ/Water Planning and Assessment (Louisiana),WQ1958001,9877,
Seminole  County (Florida),WQ,9451,
Utah Department Of Environmental Quality,351,8933,
USGS Texas Water Science Center,NA,8773,
MISSISSIPPI DEPARTMENT OF ENVIRONMENTAL QUALITY,NA,7821,
TDEC Division of Water Resources,NA,7592,
Bureau of Reclamation,WQDATA,7416,
USGS South Dakota Water Science Center,NA,7142,
Texas Commission on Environmental Quality,0,7068,surface sample
North Dakota Department Of Environmental Quality,RLALONGL,6852,
USGS Oregon Water Science Center,NA,6488,
City of Tallahassee Stormwater,LAKES,6334,
USGS North Dakota Water Science Center,NA,6021,
USGS Kansas Water Science Center,NA,6000,
USGS Missouri Water Science Center,NA,5914,
USGS California Water Science Center,NA,5831,
Iowa DNR Surface Water Monitoring Data,TMDL,5739,contacted chris
USGS Georgia Water Science Center,NA,5646,contacted department
South Carolina Department of Health and Environmental Control,SWS-2005,5456,
City of Lakeland (Florida),17LKHIST,5109,
South Carolina Department of Health and Environmental Control,SWS-2006,4984,
National Park Service Water Resources Division,ROMO0004,4913,
Leon County Public Works (Florida),WQM,4858,
South Carolina Department of Health and Environmental Control,SWS-2004,4783,
USGS Oklahoma Water Science Center,NA,4733,
USGS Alabama Water Science Center,NA,4436,
South Carolina Department of Health and Environmental Control,SWS-2007,4287,
South Carolina Department of Health and Environmental Control,SWS-2008,4069,
South Carolina Department of Health and Environmental Control,SWS-2002,3896,
National Park Service Water Resources Division,CURE0001,3829,
Orange County Environmental Protection (Florida),AMB,3702,
Utah Department Of Environmental Quality,358,3676,
USGS Utah Water Science Center,NA,3604,
South Carolina Department of Health and Environmental Control,SWS-2009,3561,
South Carolina Department of Health and Environmental Control,SWS-2001,3414,
South Carolina Department of Health and Environmental Control,SWS-2017,3397,
South Carolina Department of Health and Environmental Control,SWS-2003,3360,
USGS North Carolina Water Science Center,NA,3130,
South Carolina Department of Health and Environmental Control,SWS-2000,3115,
South Carolina Department of Health and Environmental Control,SWS-2015-2,3086,
South Carolina Department of Health and Environmental Control,SWS-2013,3036,
South Carolina Department of Health and Environmental Control,SWS-2014,2998,
National Park Service Water Resources Division,BLCA_CURE_WQ,2928,
South Carolina Department of Health and Environmental Control,SWS-2010,2854,
South Carolina Department of Health and Environmental Control,SWS-2018,2824,
Manatee County Parks and Natural Resources Department (Florida),EVERS,2815,
National Park Service Water Resources Division,CURE0002,2780,
South Carolina Department of Health and Environmental Control,SWS-1999,2721,
CITY OF ALTAMONTE SPRINGS,COASSWSP,2720,
USGS Idaho Water Science Center,NA,2671,
South Carolina Department of Health and Environmental Control,SWS-2016,2655,
South Carolina Department of Health and Environmental Control,SWS-2019,2654,
USGS Massachusetts Water Science Center,NA,2497,
USGS Connecticut Water Science Center,NA,2464,
South Carolina Department of Health and Environmental Control,SWS-2011,2462,
USGS Nevada Water Science Center,NA,2435,
Utah Department Of Environmental Quality,854,2423,
Manatee County Environmental Management Dept (Florida),EVERS,2177,
Georgia  Environmental Protection Division,100,2169,
South Carolina Department of Health and Environmental Control,SWS-2012,2081,
Utah Department Of Environmental Quality,552,2048,
State of Oregon Dept. of Environmental Quality,TMDL,2028,
USGS Washington Water Science Center,NA,2000,
City of Lakeland (Florida),HWD,1916,
USGS Virginia Water Science Center,NA,1896,
USGS Arkansas Water Science Center,NA,1776,
State of Oregon Dept. of Environmental Quality,Historical LASAR Data,1760,
Manatee County Parks and Natural Resources Department (Florida),SWAMP,1724,
Iowa DNR Surface Water Monitoring Data,TMDLLAKE,1600,
Lake County Water Resource Management,P001,1597,
